Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms)),TTC Lidar(s)),TTC Camera(s))
SHITOMASI,SIFT,15,1957,0,12.72410000,29.19890000,1400,18.67060000,8.32120023,10.37529913
SHITOMASI,SIFT,16,1888,0,11.55940000,26.53920000,1425,20.81100000,8.89867334,11.06366324
SHITOMASI,SIFT,17,1919,0,13.52940000,26.81000000,1442,19.40270000,11.03011361,12.40838174

HARRIS,BRISK,0,115,0,11.40830000,2.65810000,0,0.00000000,0.00000000,0.00000000
HARRIS,BRISK,1,209,0,13.23710000,2.84670000,74,0.19860000,12.28909987,nan
HARRIS,BRISK,2,114,0,10.95320000,1.66340000,91,0.19060000,13.35472472,10.58599631
HARRIS,BRISK,3,178,0,16.61430000,2.68780000,76,0.22750000,16.38445235,nan
HARRIS,BRISK,4,250,0,13.52250000,3.41120000,109,0.40650000,14.07644542,11.75498024
HARRIS,BRISK,5,241,0,13.73970000,3.24160000,134,0.37050000,12.72994538,13.32061302
HARRIS,BRISK,6,259,0,13.24420000,3.37010000,124,0.35830000,13.75107388,nan
HARRIS,BRISK,7,272,0,14.34170000,3.44670000,144,0.34480000,13.73143194,11.65569930
HARRIS,BRISK,8,193,0,12.35160000,3.11930000,124,0.28800000,13.79012564,12.37254553
HARRIS,BRISK,9,129,0,13.32410000,1.98890000,93,0.22800000,12.05899411,nan
HARRIS,BRISK,10,248,0,15.39430000,3.14400000,77,0.19020000,11.86418535,-inf
HARRIS,BRISK,11,147,0,12.84190000,2.06650000,101,0.21000000,11.96819706,nan
HARRIS,BRISK,12,168,0,12.66000000,2.25300000,87,0.21440000,9.88711316,nan
HARRIS,BRISK,13,181,0,12.02170000,2.69640000,101,0.22990000,9.42503692,13.35505098
HARRIS,BRISK,14,144,0,13.30240000,2.08350000,99,0.30890000,9.30214768,12.43935806
HARRIS,BRISK,15,243,0,14.15220000,3.66160000,89,0.23590000,8.32120023,-inf
HARRIS,BRISK,16,213,0,12.57950000,3.39880000,126,0.32520000,8.89867334,12.02074724
HARRIS,BRISK,17,126,0,11.50080000,2.34800000,89,0.16620000,11.03011361,nan

HARRIS,BRIEF,0,115,0,11.06640000,1.11380000,0,0.00000000,0.00000000,0.00000000
HARRIS,BRIEF,1,209,0,14.21590000,2.16700000,95,0.24560000,12.28909987,8.81335430
HARRIS,BRIEF,2,114,0,10.87120000,1.11910000,120,0.17600000,13.35472472,11.00814496
HARRIS,BRIEF,3,178,0,13.16820000,1.39780000,95,0.16830000,16.38445235,nan
HARRIS,BRIEF,4,250,0,17.60180000,2.01490000,146,0.41610000,14.07644542,12.62898292
HARRIS,BRIEF,5,241,0,14.03780000,1.84560000,180,0.48050000,12.72994538,13.32061302
HARRIS,BRIEF,6,259,0,14.14170000,2.08350000,174,0.33810000,13.75107388,14.38916522
HARRIS,BRIEF,7,272,0,15.14450000,2.17710000,193,0.32900000,13.73143194,11.72846073
HARRIS,BRIEF,8,193,0,12.55440000,1.42960000,174,0.30860000,13.79012564,13.57041570
HARRIS,BRIEF,9,129,0,11.39470000,1.23160000,122,0.27010000,12.05899411,nan
HARRIS,BRIEF,10,248,0,20.50670000,1.90010000,109,0.22680000,11.86418535,-inf
HARRIS,BRIEF,11,147,0,12.43890000,1.35870000,142,0.27770000,11.96819706,nan
HARRIS,BRIEF,12,168,0,12.27360000,1.40540000,116,0.19160000,9.88711316,nan
HARRIS,BRIEF,13,181,0,14.05600000,1.46600000,131,0.41500000,9.42503692,13.40949805
HARRIS,BRIEF,14,144,0,13.42120000,1.30800000,130,0.21510000,9.30214768,nan
HARRIS,BRIEF,15,243,0,14.16910000,2.45540000,121,0.28460000,8.32120023,nan
HARRIS,BRIEF,16,213,0,12.32570000,1.78630000,174,0.28460000,8.89867334,7.03775059
HARRIS,BRIEF,17,126,0,12.35450000,1.13830000,132,0.47570000,11.03011361,12.73843196

HARRIS,ORB,0,115,0,13.84460000,1.71100000,0,0.00000000,0.00000000,0.00000000
HARRIS,ORB,1,209,0,14.43560000,1.86540000,93,0.17650000,12.28909987,8.81335430
HARRIS,ORB,2,114,0,11.93220000,1.68390000,106,0.19240000,13.35472472,11.00814496
HARRIS,ORB,3,178,0,13.03090000,1.83440000,93,0.26090000,16.38445235,nan
HARRIS,ORB,4,250,0,14.18130000,1.97340000,133,0.27280000,14.07644542,12.62898292
HARRIS,ORB,5,241,0,15.16340000,1.87300000,173,0.32310000,12.72994538,19.21593711
HARRIS,ORB,6,259,0,14.58160000,1.98370000,159,0.32780000,13.75107388,14.96329096
HARRIS,ORB,7,272,0,14.54320000,2.03730000,180,0.40420000,13.73143194,12.58967059
HARRIS,ORB,8,193,0,13.66270000,1.81500000,160,0.30960000,13.79012564,13.57041570
HARRIS,ORB,9,129,0,11.38520000,2.04140000,105,0.38180000,12.05899411,nan
HARRIS,ORB,10,248,0,14.77440000,2.24210000,97,0.26680000,11.86418535,nan
HARRIS,ORB,11,147,0,12.32120000,1.64760000,131,0.21460000,11.96819706,nan
HARRIS,ORB,12,168,0,12.62920000,1.73410000,108,0.24420000,9.88711316,23.90711484
HARRIS,ORB,13,181,0,12.57840000,1.63130000,126,0.27070000,9.42503692,13.40949805
HARRIS,ORB,14,144,0,12.63910000,1.99880000,119,0.30650000,9.30214768,5.66096575
HARRIS,ORB,15,243,0,14.08140000,2.00960000,111,0.25220000,8.32120023,-11.52183448
HARRIS,ORB,16,213,0,13.83870000,1.92020000,155,0.34510000,8.89867334,6.33866249
HARRIS,ORB,17,126,0,11.27200000,1.70310000,115,0.19300000,11.03011361,nan

HARRIS,FREAK,0,115,0,11.92810000,34.75720000,0,0.00000000,0.00000000,0.00000000
HARRIS,FREAK,1,209,0,13.60780000,39.37990000,78,0.20610000,12.28909987,nan
HARRIS,FREAK,2,114,0,11.36710000,35.26170000,96,0.19230000,13.35472472,nan
HARRIS,FREAK,3,178,0,13.19830000,37.73230000,79,0.24480000,16.38445235,nan
HARRIS,FREAK,4,250,0,16.94420000,38.33730000,103,0.57880000,14.07644542,12.62898292
HARRIS,FREAK,5,241,0,13.66060000,38.00820000,138,0.31890000,12.72994538,39.58402863
HARRIS,FREAK,6,259,0,13.82780000,35.92680000,124,0.42220000,13.75107388,nan
HARRIS,FREAK,7,272,0,15.00520000,38.63790000,128,0.35540000,13.73143194,11.09242966
HARRIS,FREAK,8,193,0,12.65020000,36.35710000,131,0.28300000,13.79012564,11.97175280
